Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
LKQ,740,122,271,112,0.271,2.0706015,13.379562,0.45,0.020033479,36.57,Consumer Cyclical,2/17/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":6,"hold":1,"sell":0,"strongSell":0}
MRK,741,77,292,100,0.547,7.190778,13.044024,1.91,-0.07089263,82.99,Healthcare,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":7,"hold":10,"sell":0,"strongSell":0}
CAG,744,45,81,119,0.893,2.1263156,13.648648,1.97,0.22743058,35.37,Consumer Defensive,1/6/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":6,"hold":2,"sell":1,"strongSell":1}
PHM,746,79,387,9,0.525,1.8200963,7.4038463,0.58,0.058220863,42.16,Consumer Cyclical,1/25/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":6,"hold":14,"sell":0,"strongSell":1}
INTC,762,329,203,57,-0.286,2.7334688,10.905702,1.3,-0.13812828,50.26,Technology,1/20/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":18,"hold":13,"sell":3,"strongSell":2}
PRU,764,215,316,5,0.049,0.4692604,6.7162395,2.07,-0.16837758,79.96,Financial Services,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":5,"hold":9,"sell":0,"strongSell":0}
WU,765,59,497,58,0.693,135.76686,11.00995,1.42,-0.18429786,21.89,Financial Services,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":0,"hold":10,"sell":7,"strongSell":1}
FOXA,767,31,195,75,1.216,1.6211433,12.165975,24.72,-0.20347738,29.11,Communication Services,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":8,"hold":11,"sell":1,"strongSell":0}
GL,770,259,192,85,-0.064,1.3895686,12.361477,1.87,-0.11720371,94.88,Financial Services,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
ETR,779,91,138,190,0.427,1.9105154,17.244967,3.39,-0.13717264,103.26,Utilities,2/16/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":0,"hold":13,"sell":0,"strongSell":1}
AMAT,782,66,38,170,0.62,7.6298285,16.504673,1.11,0.4726485,87.89,Technology,2/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":15,"hold":1,"sell":0,"strongSell":0}
CVS,786,301,129,36,-0.2,1.3617426,9.493369,2.11,-0.03790325,72.21,Healthcare,2/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":10,"hold":9,"sell":0,"strongSell":0}
EBAY,788,35,179,107,1.142,11.592732,13.2783785,0.81,0.38785303,49.6,Consumer Cyclical,1/25/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":10,"hold":20,"sell":2,"strongSell":0}
DISCA,795,170,139,31,0.145,1.9531461,9.155063,5.63,-0.10571867,28.79,Communication Services,2/24/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":2,"hold":17,"sell":2,"strongSell":1}
HPE,801,401,186,4,-0.673,0.96150756,6.698324,2.36,-0.25435323,12.12,Technology,2/28/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":4,"hold":16,"sell":2,"strongSell":0}
TPR,804,4,402,62,10.585,3.215656,11.324325,0.47,0.15109897,29.62,Consumer Cyclical,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":8,"buy":13,"hold":13,"sell":1,"strongSell":0}
UNM,804,253,445,2,-0.045,0.43494517,4.4664106,1.13,-0.23428756,23.81,Financial Services,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":2,"hold":7,"sell":3,"strongSell":0}
AON,809,131,51,217,0.239,13.207583,19.040112,2.9,-0.014008939,206.24,Financial Services,1/24/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":3,"hold":11,"sell":2,"strongSell":0}
TSN,809,46,455,55,0.875,1.6353552,10.826563,2.77,-0.2296831,69.41,Consumer Defensive,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":7,"hold":5,"sell":0,"strongSell":0}
AEP,812,230,10,200,0.021,2.0169623,17.836208,3.37,-0.11039448,82.48,Utilities,2/17/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":2,"hold":11,"sell":0,"strongSell":0}
CERN,812,11,107,292,3.353,5.1804214,23.139751,2.47,0.025320053,73.97,Healthcare,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":5,"hold":9,"sell":0,"strongSell":0}
DTE,822,83,140,193,0.492,1.9645016,17.566011,2.93,-0.018904984,124.22,Utilities,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":2,"hold":6,"sell":1,"strongSell":0}
HUM,822,43,211,203,0.945,3.282779,18.032734,1.78,0.06901169,397.48,Healthcare,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":5,"hold":7,"sell":0,"strongSell":0}
AIG,824,385,1,28,-0.561,0.5252112,8.8764305,8.26,-0.25260115,39.39,Financial Services,2/10/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":7,"hold":7,"sell":1,"strongSell":1}
ANTM,824,417,15,84,-0.812,2.2899418,12.332673,1.01,0.067242384,313.75,Healthcare,1/26/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":4,"hold":8,"sell":0,"strongSell":0}
PFG,829,285,319,16,-0.148,0.855374,8.074504,1.53,-0.103162944,49.82,Financial Services,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":3,"hold":6,"sell":1,"strongSell":0}
LEN,834,117,264,27,0.298,1.3251016,8.830097,0.86,0.2521081,72.29,Consumer Cyclical,12/15/2020, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":6,"hold":9,"sell":0,"strongSell":0}
CB,836,191,70,113,0.094,1.2301168,13.438812,3.46,-0.011509001,153.68,Financial Services,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":11,"hold":1,"sell":1,"strongSell":1}
ATVI,838,20,28,298,1.961,4.496507,23.638418,1,0.42774272,83.11,Communication Services,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":9,"buy":11,"hold":7,"sell":0,"strongSell":0}
FISV,848,111,201,263,0.333,2.4285111,21.22366,1.49,-0.014505208,114.83,Technology,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":1,"hold":16,"sell":0,"strongSell":0}
UHS,849,27,459,79,1.483,1.8862413,12.288765,1.97,-0.06578666,135.37,Healthcare,2/23/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":8,"hold":5,"sell":0,"strongSell":0}
AVGO,852,73,113,142,0.563,6.8843727,14.908891,2.03,0.25590324,410.04,Technology,3/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":10,"buy":17,"hold":2,"sell":0,"strongSell":0}
CBOE,856,222,90,189,0.037,3.060084,17.228458,4.78,-0.26577842,86.94,Financial Services,2/4/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":2,"hold":9,"sell":0,"strongSell":0}
BDX,857,303,88,205,-0.21,2.96191,18.233658,2.04,-0.10074848,242.33,Healthcare,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":3,"hold":5,"sell":0,"strongSell":0}
CSCO,859,318,104,102,-0.257,4.9037395,13.151336,2.28,-0.036102653,44.32,Technology,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":8,"buy":11,"hold":8,"sell":0,"strongSell":0}
NOC,864,208,360,86,0.057,4.7873664,12.415118,1.72,-0.12799907,298.43,Industrials,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":6,"hold":9,"sell":0,"strongSell":0}
MU,865,54,270,49,0.761,2.0130148,10.281341,1.33,0.332263,71.28,Technology,1/6/2021, 6:00:00 PM,{"period":"0m","strongBuy":8,"buy":20,"hold":3,"sell":0,"strongSell":0}
LHX,866,241,268,135,-0.007,1.8293991,14.463303,1.2,-0.06039536,187.5,Industrials,1/31/2021, 6:00:00 PM,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
DGX,879,23,396,73,1.642,2.5747252,12.145273,1.28,0.14955735,125.47,Healthcare,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":4,"hold":14,"sell":1,"strongSell":0}
AKAM,881,167,23,216,0.15,4.1032853,18.857924,1.91,0.21087718,103.41,Technology,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":7,"hold":13,"sell":2,"strongSell":0}
